BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
F,52,Blaster and Blade III,"When you are wielding both an advanced melee weapon and a pistol, you can make a full attack as a standard action instead of a full-round action, provided you attack with both weapons. ",3,"Blaster & Blade I & II, Dual Weapon I, WP (advanced & pistols)",,,,make full attack as stan if you attack with both,Master Privateer,Privateer,Master Privateer
F,57,Blaster Turret I,"Once per encounter, as standard action you can create a blaster turret (Size Tiny, Initiative +4, Perception +4, Reflex Defense 10,10 hp, Threshold 8) that can be mounted to any flat surface. The turret fires as a standard blaster pistol once per round, using your base attack bonus plus your Intelligence bonus and dealing 3d6 points of damage. The turret fires at any target you designate (a free action, once per round on your turn), though you must remain adjacent to the turret to control it. The turret is expended at the end of the encounter.",1,,stan,,,"1/encounter, Tiny Init +4 Percep +4 Ref Def 10 10hp thresh 8 turret, 3d6 dam, you must be adjacent",Saboteur,Turret,Saboteur
F,57,Blaster Turret II,"Your turret's capabilities increase in the following ways: Initiative +8, Perception +8, Reflex Defense 12, 15 hp, Threshold 10, and the turret deals 3d8 points of damage. The turret can be directed by remote control at a range of 12 squares. ",2,Blaster Turret I,stan,,,"1/encounter, Tiny Init +8 Percep +8 Ref Def 12 15hp thresh 10 turret, 3d8 dam, remote 12sq",Saboteur,Turret,Saboteur
F,57,Blaster Turret III,"Your turret gains the ability to fire twice per round, with a -5 penalty on each attack roll, and gains DR 5. ",3,Blaster Turret I & II,stan,,,"1/encounter, Tiny Init +8 Percep +8 Ref Def 12 15hp DR5 thresh 10, 3d8 dam fires twice, remote 12sq",Saboteur,Turret,Saboteur
GI,20,Blend In,"You know how to blend into a variety of cultures and groups with ease. As a swift action, you gain total concealment when adjacent to at least two other creatures. This benefit does not apply to attacks from adjacent creatures.",1,,swif,,,When adjacent to two creatures gain concealment against non adjacent targets.,Noble,Master of Intrigue,Noble
F,28,Blend In,"You know the tricks of body language and movement that allow you to disguise your appearance without elaborate materials or efforts. You can use your Stealth modifier in place of your Deception modifier for the purpose of creating a deceptive appearance. You are considered trained in the Deception skill for the purpose of using this talent. If you are entitled to a Deception check reroll, you can reroll your Stealth check instead (subject to the same circumstances and conditions).",1,,,,,"Stealth replaces Deception for a deceptive appearance, considered trained",Scout,Spy,"Infiltrator, Scout"
C,41,Blind Shot,You ignore the penalties on your ranged attack rolls when a target has concealment or total concealment.,1,,,,,ignore penalties v. concealment or total concealment,Gunslinger,Gunslinger,Gunslinger
S,17,Blind Spot,"You can fly a vehicle you pilot so close to a target at least two sizes larger than your vehicle that it is difficult for the target to avoid or attack you. You must be adjacent to the target (at starship scale) to use this talent. As a swift action, make an opposed Pilot check against the target. If you succeed, you move into the same space as your target. You move with your target if it moves (assuming your vehicle has sufficient speed to keep up), and you must make another opposed Pilot check each round as a swift action to stay in its blind spot. As long as you stay in the target's blind spot, any attack you make against the target gains a +2 bonus, and the target takes a -2 penalty on attacks made against you.",1,,swif,,,"with vehicle 2 sizes bigger, must be adjacent, opposed Pilot, Atk vs. target +2, Atk from target -2",Ace Pilot,Expert Pilot,Ace Pilot
CR,41,Block,"As a reaction, you may negate a melee attack by making a successful Use the Force check. The DC of the skill check is equal to the result of the attack roll you wish to negate, and you take a cumulative -5 penalty on your Use the Force check for every time you have used Block or Deflect since the beginning of your last turn. You may use the Block talent to negate melee area attacks, such as those made by the Whirlwind Attack feat. If you succeed on the Use the Force check, you take half damage if the attack hits and no damage if the attack misses. You may spend a Force point to use this talent to negate an attack against an adjacent character. You must have a lightsaber drawn and ignited to use this talent, and you must be aware of the attack and not flat-footed. [You may stop an attack that rolled a natural 20. You may not use this against an opponent who used a DP to auto-crit. Unless you specifically attack an opponent's weapon, it does not take damage (such as from Block). Someone using an unarmed strike does not take damage from being blocked.] [[It seems you can't use Block or Deflect while raging. Block does not do damage when used to block a melee attack. Conceptually, I look at it like this:  As the Jedi swings his lightsaber around to block the attack, the opponent quickly jerks his weapon/limb out of the way, saving himself from the harmful side effects of lightsaberage.]]",1,,reac,*,,"negate melee attack with Use the Force check, DC = Atk roll, -5 every time used in round must have activated lightsaber, aware and not flat-footed, FP for adjacent character.",Jedi,Lightsaber Combat,"Imperial Knight, Jedi, Jedi Knight, Sith Apprentice"
SV,33,Bloodthirsty,"You can perform a coup de grace as a move action. Whenever you successfully perform a coup de grace action and kill the target, all allies within you line of sight gain a +2 morale bonus on attack rolls for the duration of the encounter.",1,,,,,"perform coup de grace as move, if kill with coup de grace all allies in LOS +2 Atk for encounter",Master Privateer,Piracy,Master Privateer
L,41,Blowback,"When you make an attack with a rifle that deals damage in excess of your target’s damage threshold, you can choose to push the target 1 square away from you.",1,,,,,push target 1 square if you exceed target's threshold,Gunslinger,Carbineer,Gunslinger
F,52,Boarder,You are skilled at boarding hostile vessels. You ignore cover (but not improved cover) with your character-scale ranged attacks while aboard a starship or space station.,1,,,,,ignore cover with character-scale ranged attacks aboard a starship or space station,Master Privateer,Privateer,Master Privateer
J,81,Body Control,"You can add your Charisma modifier instead of your Constitution modifier to your Fortitude Defense. Additionally, you can spend a Force Point as a swift action to become immune to poison, radiation, and disease until the end of the encounter.",1,,,*,,"add Cha mod instead of Con mod to Fort Def, can spend FP to become immune to poison, radiation & disease until end of enc",Force-Using Traditions,Matukai Adept,"Force Disciple, Jedi Master, Sith Lord"
SV,27,Bodyguard I,"Whenever you are adjacent to a minion gained with the Attract Minion talent, once per turn as a reaction to being attacked you can redirect the attack against that minion. Compare the attack roll to the minion's defenses and resolve the attack as normal. ",2,Attract Minion,reac,,,1/turn redirect attack to attracted minion,Crime Lord,Mastermind,Crime Lord
SV,27,Bodyguard II,"When you redirect an attack to a minion using the Bodyguard I talent, that minion's relevant defense score gains a bonus equal to half your class level. ",3,Bodyguard I*,,,,"1/turn redirect attack to attracted minion, minion +Ref Def = half your class level",Crime Lord,Mastermind,Crime Lord
SV,27,Bodyguard III,"When you redirect an attack to a minion using the Bodyguard I talent, that minion can make an immediate melee or ranged attack against your attacker, if the attacker is within range. Additionally, the bonus provided by the Bodyguard II talent increases to your full class level. ",4,Bodyguard II*,,,,"1/turn redirect attack to attracted minion, minion +Ref Def = your class level & free Atk v. attacker",Crime Lord,Mastermind,Crime Lord
L,41,Bodyguard's Sacrifice,"As a reaction, you can interfere with any successful attack against an adjacent ally. You can choose to take any or all of that attack’s damage, and the remainder is dealt to the target as normal. Once you use this talent, you may not use it again until the end of your next turn.",1,,reac,,,"take any or all damage for adjacent ally rest goes to target, cannot use it again until end of next turn",Elite Trooper,Protection,Elite Trooper
