BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
SGD,22,Damage Conversion,"When you take damage from an attack against you (other than an area attack, or an attack that deals ion or Force damage) and that damage equals or exceeds your damage threshold, you can take an additional 10 points of damage instead of moving down the condition track. Each subsequent time you use this feat in a single encounter, the additional damage you take increases by 5 points.","Droid, Dex 13","if dam from atk (not area, ion, or Force) equals or exceeds thresh can take 10 dam & not move down CT (each additional use increases dam by 5)",,,,,,"[species(droid)], [dexterity], [damage threshold], [combat][defensive]"
R,31,Darkness Dweller,Any enemy that makes a Stealth check within 10 squares of you takes a -2 penalty to the check. This penalty does not stack with the same penalty imposed by other characters with this feat.,Sullustan,enemy that makes Stealth check w/in 10 sq of you is -2,,,,,,[species(sullustan)]
CR,84,Deadeye,"If you aim before making a ranged attack (see Aim, page 154) and the attack hits, increase the damage you deal by an additional weapon die. For example, if you score a hit with a blaster pistol using the Deadeye feat, the blaster shot deals 4d6 points of damage (instead of the normal 3d6 points). The effects of this feat do not stack with the extra damage provided by the Burst Fire or Rapid Shot feat. [[NOTE: Cannot use aim with area attacks]]. SSotG: Pilots can use these feats, but since they must spend at least one move action operating their vehicles, they must split their aim (two swift actions) and attack (standard action) into two separate turns, making it more likely that the target will break line of sight or otherwise avoid you. ","BAB +4, Point Blank Shot, Precise Shot","if you aim, deal extra die damage",,,x,x,x,"[ranged(fired, thrown)][target][question gtaim], [combat][offensive], [aim],  [vehicle][starship][SotG]"
SV,21,Deadly Sniper,"When you make a ranged attack against a target that is unaware of you, you gain a +2 bonus on your attack roll and deal +1 die of damage on the first attack each turn. [[A target is usually unaware if you surprise him]]","BAB +9, Sniper, trained in Stealth, Point Blank Shot, Precise Shot",if target is unaware of you +2 Atk & +1 die dam on first attack,,,,x,x,"[ranged(fired, thrown)][target], [combat][offensive], [skill(stealth)], "
SV,21,Deceptive Drop,"During the surprise round, if you damage a flat-footed target, that target is also knocked prone if your attack roll also exceeds the target's Fortitude Defense. The target adds its size modifier to its Fortitude Defense: Colossal, +50; Gargantuan, +20; Huge, +10; Large, +5; Medium and smaller, +0.",Trained in Initiative,in surprise rnd if you dam flat-foot opp they are prone if over FortDef,,,x,,,"[ranged(grenade, fired, thrown)][damage], [melee(armed, unarmed)], [skill(initiative], [combat][offensive]"
R,31,Deep Sight,"You gain darkvision, ignoring concealment (including total concealment) from darkness. You cannot perceive colors in total darkness.",Quarren,gain darkvision,,,,,,[species(quarren)]
R,28,Deft Charge,"After you charge, you can take swift actions, reactions, and free actions before your turn ends. Normal: Without this feat, charging ends your turn immediately after the attack is resolved.",,"after you charge, you may take swif, reac & free actions ",x,,,x,x,"[mobility], [charge]"
GI,27,Demoralizing Strike,"When you successfully deal damage to an opponent with an attack of opportunity, you can immediately make a Persuasion check to intimidate the opponent as a free action.",Cha 13,when you dam target with AoO = free Persuasion to intimidate them,,x,,,,"[ranged(fired)][question gtaoo], [melee(armed, unarmed)], [attack of opportunity], [combat][offensive], [charisma], [skill(persuasion)]"
SV,21,Desperate Gambit,"Once per turn when you miss on an attack roll, you reroll the attack, but you take a -2 penalty to Reflex Defense until the end of your next turn. If your first attack missed because you rolled a natural 1, you can still use this feat, but you take a -5 penalty to Reflex Defense instead. You must accept the result of the second roll, even if it's worse than the first.",,"1/turn if miss Atk, reroll w/ -2 RefDef until end next turn, nat 1=-5, mtr",,,x,,,"[ranged(grenade, fired, thrown)][attack roll], [melee(armed, unarmed)], [combat][offensive]"
GW,22,Destructive Force,"When you deal damage to an object or vehicle that equals or exceeds the target's damage threshold and reduces the target to 0 hit points, you deal 1 die of damage (of the same type as the damage used in the attack) to all targets, including allies, that are adjacent to the vehicle or object.",,deal 1 die dam to all targets & allies adjacent to a vehicle or object you reduce to 0 hp or equal or exceed thresh,,,,x,x,"[ranged(fired, thrown)][damage], [melee(armed, unarmed)], [combat][offensive]"
R,31,Devastating Bellow,"Your bellow attack deals 4d6 points of damage on a hit and half damage on a miss. Normal: Without this feat, your bellow attack deals 3d6 points of damage on a hit.",Ithorian,bellow atk deals 4d6 dam,,,,,,"[species(ithorian)], [combat][offensive]"
GW,23,Disabler,"When you make a ranged attack with an ion weapon, you gain one of the following benefits, depending on the kind of weapon you use. Ion Grenade: When you use an ion grenade, the grenade's burst radius is 3 squares instead of 2 squares. Ion Pistol: When you use an ion pistol, the damage dice increase from d6 to d8. Ion Rifle: You treat the ion rifle as an accurate weapon.",Proficient with weapon used*,"Ion Grenade 3sq burst, Ion Pistol dam dice d8, Ion Rifle is accurate",,x,x,x,x,"[ranged(grenade, fired)][ok], [combat][offensive], "
R,31,Disarming Charm,"Whenever you successfully use the Change Attitude application of the Persuasion skill to change a target's attitude, you gain a +2 circumstance bonus to all Deception or Persuasion checks against that target for the next 24 hours.",Sullustan,"when you successfully change attitude, +2 Deception & Persuasion v. target for next 24 hours",,,,,,"[species(sullustan)], [skill(persuasion)], [skill(deception)]"
SGD,22,Distracting Droid,"As a standard action, make a Persuasion check against the Will Defense of all enemies that are within 6 squares of you and that can see or hear you, as determined appropriate by the Gamemaster. If the check equals or exceeds an enemy's Will Defense, the enemy loses one move action on its next turn. If the attack exceeds an enemy's Will Defense by 10 or more, the enemy is also flat-footed until the start of your next turn. This is a mind-affecting effect.",Droid,"as stan action, Persuasion v. Will Def of all w/in 6 sq & enemy loses 1 move & if by 10 or more enemy flat-footed",,,,,,"[species(droid)], [skill(persuasion)], [combat][offensive]"
GI,27,Disturbing Presence,"If you succeed on a DC 15 Deception check, you can move through the threatened area or fighting space of an enemy as part of your move action without provoking an attack of opportunity. Each threatened square or occupied square that you move through in this manner counts as 2 squares of movement. Normal: You can tumble through an occupied enemy square only by using the Acrobatics skill.",trained in Deception,"DC 15 Deception check to ""tumble"" through threatened area, move x2",,x,x,,,"[tumble], [skill(deception)]"
GW,23,Dive for Cover,"Once per turn, as a reaction to being targeted by a ranged attack, you can make a Jump check to jump horizontally. If you land in a square that provides you with cover from your attacker, you gain the normal cover bonus against the attack, even if you didn't have cover at the time the attack was made. When you use this feat, you always land prone. [Dev: Q. Does the Dive For Cover feat make you immune to the incoming attack if you dive behind full cover? A. Yes.]
",Trained in Jump,1/turn as reac when targeted by ranged atk make horizontal Jump to gain cover & land prone,x,,,x,x,"[skill(jump)], [combat][defensive]"
CR,84,Dodge,"During your turn, you designate an opponent and receive a +1 dodge bonus to your Reflex Defense against attacks from that opponent. You can select a new opponent on any action. A situation that makes you lose your Dexterity bonus to Reflex Defense (if any) also makes you lose dodge bonuses. Also, dodge bonuses stack with each other, unlike most other types of bonuses. SSotG: The pilot of a vehicle may use Dodge to grant the vehicle a +1 dodge bonus against a single opponent (whether a vehicle or a single character). [[Can be used by a mount. *Weak feat option: Instead of designating a single opponent you may designate either a single opponent, all ranged attacks, or all melee attacks against which you gain the +1 Reflex Defense.]]",Dex 13,+1 Ref Def against selected target,x,,x,x,,"[combat][defensive], [dexterity],  [vehicle][starship][SotG]"
